,Avg temp,,,,,10-yr MA,,,,,,,,,,,,,,,,
year,Shanghai,Amsterdam,New_York,San_Jose,global,Shanghai,Amsterdam,New_York,San_Jose,global,,,,,,,,,,,,
1962,16.11,8.12,9.32,14.22,8.75,16.249,9.3,10.116,14.527,8.67,,,,,,,,,,,,
1963,16.2,7.81,9.32,14.19,8.86,16.166,9.099,9.931,14.504,8.669,,,,,,,,,,,,
1964,16.58,9.18,9.96,14.24,8.41,16.239,9.119,9.896,14.51,8.654,,,,,,,,,,,,
1965,16.06,8.74,9.63,14.14,8.53,16.239,9.109,9.82,14.55,8.644,,,,,,,,,,,,
1966,16.5,9.47,9.75,14.74,8.6,16.328,9.241,9.82,14.616,8.676,,,,,,,,,,,,
1967,16.05,9.92,9.3,14.5,8.7,16.373,9.244,9.7,14.607,8.673,,,,,,,,,,,,
1968,16.13,9.14,9.75,14.66,8.52,16.379,9.218,9.759,14.532,8.648,,,,,,,,,,,,
1969,15.64,9.18,9.76,14.51,8.6,16.289,9.119,9.658,14.444,8.635,,,,,,,,,,,,
1970,15.82,9.07,9.77,14.76,8.7,16.211,9.057,9.659,14.461,8.647,,,,,,,,,,,,
1971,16.22,9.51,10.01,13.89,8.6,16.131,9.014,9.657,14.385,8.627,,,,,,,,,,,,
1972,15.71,8.96,9.49,14.25,8.5,16.091,9.098,9.674,14.388,8.602,,,,,,,,,,,,
1973,16.32,9.44,10.96,14.58,8.95,16.103,9.261,9.838,14.427,8.611,,,,,,,,,,,,
1974,15.93,9.73,10.08,14.41,8.47,16.038,9.316,9.85,14.444,8.617,,,,,,,,,,,,
1975,16.48,9.87,10.56,13.82,8.74,16.08,9.429,9.943,14.412,8.638,,,,,,,,,,,,
1976,15.71,9.82,9.53,14.72,8.35,16.001,9.464,9.921,14.41,8.613,,,,,,,,,,,,
1977,16.17,9.66,9.96,14.63,8.85,16.013,9.438,9.987,14.423,8.628,,,,,,,,,,,,
1978,16.67,8.95,9.17,14.96,8.69,16.067,9.419,9.929,14.453,8.645,,,,,,,,,,,,
1979,16.54,8.45,10.02,14.99,8.73,16.157,9.346,9.955,14.501,8.658,,,,,,,,,,,,
1980,15.57,9.12,9.86,14.74,8.98,16.132,9.351,9.964,14.499,8.686,,,,,,,,,,,,
1981,15.91,9.26,9.95,15.22,9.17,16.101,9.326,9.958,14.632,8.743,,,,,,,,,,,,
1982,16.2,9.98,9.78,14,8.64,16.15,9.428,9.987,14.607,8.757,,,,,,,,,,,,
1983,16.22,9.95,10.51,15.07,9.03,16.14,9.479,9.942,14.656,8.765,,,,,,,,,,,,
1984,15.8,9.34,10.26,14.97,8.69,16.127,9.44,9.96,14.712,8.787,,,,,,,,,,,,
1985,16.04,8.42,10.26,14.23,8.66,16.083,9.295,9.93,14.753,8.779,,,,,,,,,,,,
1986,15.94,8.79,10.15,15,8.83,16.106,9.192,9.992,14.781,8.827,,,,,,,,,,,,
1987,16.19,8.66,10.32,14.95,8.99,16.108,9.092,10.028,14.813,8.841,,,,,,,,,,,,
1988,16.17,10.21,9.93,15.08,9.2,16.058,9.218,10.104,14.825,8.892,,,,,,,,,,,,
1989,16.24,10.57,9.66,14.45,8.92,16.028,9.43,10.068,14.771,8.911,,,,,,,,,,,,
1990,17.26,10.63,11.32,14.73,9.23,16.197,9.581,10.214,14.77,8.936,,,,,,,,,,,,
1991,16.14,9.32,11.36,14.5,9.18,16.22,9.587,10.355,14.698,8.937,,,,,,,,,,,,
1992,16.14,10.39,9.57,15.53,8.84,16.214,9.628,10.334,14.851,8.957,,,,,,,,,,,,
1993,15.98,9.47,10.04,14.97,8.87,16.19,9.58,10.287,14.841,8.941,,,,,,,,,,,,
1994,17.34,10.45,10,14.21,9.04,16.344,9.691,10.261,14.765,8.976,,,,,,,,,,,,
1995,16.36,10.25,10.24,15.31,9.35,16.376,9.874,10.259,14.873,9.045,,,,,,,,,,,,
1996,16.21,8.32,9.81,15.56,9.04,16.403,9.827,10.225,14.929,9.066,,,,,,,,,,,,
1997,16.76,10.03,10,15.75,9.2,16.46,9.964,10.193,15.009,9.087,,,,,,,,,,,,
1998,17.56,10.18,11.82,14.38,9.52,16.599,9.961,10.382,14.939,9.119,,,,,,,,,,,,
1999,16.68,10.74,11.16,14.41,9.29,16.643,9.978,10.532,14.935,9.156,,,,,,,,,,,,
2000,16.9,10.75,9.97,15.02,9.2,16.607,9.99,10.397,14.964,9.153,,,,,,,,,,,,
2001,16.93,10.24,10.93,15.25,9.41,16.686,10.082,10.354,15.039,9.176,,,,,,,,,,,,
2002,17.22,10.64,11.25,15,9.57,16.794,10.107,10.522,14.986,9.249,,,,,,,,,,,,
2003,16.74,10.28,9.84,15.43,9.53,16.87,10.188,10.502,15.032,9.315,,,,,,,,,,,,
